X,Y
176,129
175,129
175,130
174,130
174,131
173,131
173,132
172,132
172,133
171,133
171,135
170,135
170,137
169,137
169,141
170,141
170,143
171,143
171,146
172,146
172,147
173,147
173,149
174,149
174,151
175,151
175,152
176,152
176,153
177,153
177,154
178,154
178,156
179,156
179,158
180,158
180,159
181,159
181,161
182,161
182,165
183,165
183,171
182,171
182,176
181,176
181,180
180,180
180,184
179,184
179,187
178,187
178,198
179,198
179,201
180,201
180,204
181,204
181,207
179,207
179,206
177,206
177,205
176,205
176,204
175,204
175,203
174,203
174,202
173,202
173,201
172,201
172,200
171,200
171,197
170,197
170,195
169,195
169,187
170,187
170,182
171,182
171,179
172,179
172,176
173,176
173,172
174,172
174,169
173,169
173,165
172,165
172,164
171,164
171,163
170,163
170,161
169,161
169,160
168,160
168,158
167,158
167,157
166,157
166,155
165,155
165,154
164,154
164,152
163,152
163,150
162,150
162,148
161,148
161,145
160,145
160,136
161,136
161,134
162,134
162,132
163,132
163,131
164,131
164,129
166,129
166,127
167,127
167,126
169,126
169,125
170,125
170,124
171,124
171,123
172,123
172,122
173,122
173,121
175,121
175,120
176,120
176,118
177,118
177,117
180,117
180,122
179,122
179,125
178,125
178,127
177,127
177,128
176,128
